1-UCA01,Outdoor sitting                 ,Non UFA                                      
G-TL02,Female Toilet                   ,Non UFA                                      
G-UCA01,Undercover walkway              ,Non UFA                                      
G-UCA02,Entry Porch,Non UFA                                      
G-UCA03,Entry Porch                     ,Non UFA                                      
G-UCA04,Covered Walkway                 ,Non UFA                                      
G07,New Post office,Retail                                       
G08,Unisuper,Retail                                       
G09,Comm Bank,Retail                                       
G10,Westpac                         ,Retail                                       
G101,Pharmacy,Retail                                       
G102,Common Room                     ,Monash Student Organisations            
G103,Office                          ,Monash Student Organisations            
G104,Passage,Non UFA                                      
G105,Foyer,Campus Community Division               
G106,Seminar Room,Campus Community Division               
G107,Staff room,Campus Community Division               
G108,open Office,Campus Community Division               
G109,Store,Monash University                       
G109A,Toilet,Non UFA                                      
G11,Uni Bookshop,Retail                                       
G110,Office,Campus Community Division               
G111,Office,Campus Community Division               
G112,Office,Campus Community Division               
G113,Office                          ,Campus Community Division               
G114,Office rm,Campus Community Division               
G115,Office rm,Campus Community Division               
G116,Meeting Room,Campus Community Division               
G117,Consult Room                    ,Campus Community Division               
G118,Consult Room                    ,Campus Community Division               
G119,Consult Room,Campus Community Division               
G12,Bookshop Admin Office,Retail                                       
G120,Consult Room,Campus Community Division               
G121,Consult Room                    ,Campus Community Division               
G122,Consult Room,Campus Community Division               
G123A,Toilet                          ,Non UFA                                      
G123B,Toilet                          ,Non UFA                                      
G124,Consult Room,Campus Community Division               
G125,Consult Room                    ,Campus Community Division               
G126,Consult Room,Campus Community Division               
G127,Consult Room                    ,Campus Community Division               
G128,Consult Room                    ,Campus Community Division               
G129,Consult Room                    ,Campus Community Division               
G12A,Kitchenette,Retail                                       
G12B,Office,Retail                                       
G12C,Meeting Rm,Retail                                       
G12D,Office,Retail                                       
G130,Consult Room                    ,Campus Community Division               
G131,Consult Room                    ,Campus Community Division               
G132,Consult Room                    ,Campus Community Division               
G133,Consult Room                    ,Campus Community Division               
G134,Consult Room                    ,Campus Community Division               
G135,Consult Room                    ,Campus Community Division               
G136,Consult Room                    ,Campus Community Division               
G137,Consult Room                    ,Campus Community Division               
G137A,Consult Room                    ,Campus Community Division               
G138,Consult Room                    ,Campus Community Division               
G139,Meeting Room                    ,Campus Community Division               
G14,Guzman Y Gomez,Food & Beverage                              
G140,Consult Room                    ,Campus Community Division               
G141,Rehearsal,Monash Student Organisations            
G142,Theatre Office,Monash Student Organisations            
G143,Theatre Office,Monash Student Organisations            
G144,Female Toilet                   ,Non UFA                                      
G145,Male Toilet                     ,Non UFA                                      
G146,Accessible/Baby Change          ,Non UFA                                      
G147B,Parenting Rm,Campus Community Division               
G148,Foyer to Theatre,Non UFA                                      
G149,Theatre,Monash University                       
G15,PappaRich,Food & Beverage                              
G150,Conference Rm,Monash University                       
G151,Kitchentte,Monash Connect                          
G152,Open Office,Monash Connect                          
G152A,Print area,Monash Connect                          
G152B,Store                           ,Monash Connect                          
G153,Office,Monash Connect                          
G154,Office,Monash Connect                          
G155,Meeting Rm,Monash Connect                          
G156,Store                           ,Buildings & Property Division           
G157,Vacant,Reserved Spaces
G158,Fish and Chip Shop,Food & Beverage                              
G158A,Cool Room,Food & Beverage                              
G158B,Freezer Rm,Food & Beverage                              
G158C,Switchboard Rm,Food & Beverage                              
G158D,Store,Food & Beverage                              
